NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,Autistic Disorder;Automobile Driving;Behavior;Binding Proteins;Biosensor;Birth Place;Brain Diseases;Catastrophic Illness;cell motility;Cell physiology;Cells;Cerebral cortex;Complex;Critical Pathways;Cues;Data;Development;developmental disease;Disease;doublecortin protein;Embryonic Development;Epilepsy;Etiology;Event;expectation;extracellular;Functional disorder;Genetic;Genetic Predisposition to Disease;genetic regulatory protein;Imaging Techniques;Impairment;In Situ;in vivo;inhibitor/antagonist;insight;Interneurons;Invaded;Knowledge;Lateral;Lead;Light;MAPK8 gene;Mediating;Mediator of activation protein;Mental disorders;Microtubules;migration;Molecular;Molecular and Cellular Biology;Mood Disorders;Mus;N-terminal;nervous system disorder;neurodevelopment;Neurons;neuropsychiatric disorder;novel;Pathologic;Phosphorylation;Phosphotransferases;Play;prenatal;Process;Prosencephalon;public health relevance;Publishing;Radial;Refractory;response;Risk;Role;Schizophrenia;Signal Pathway;Signal Transduction;Source;Stream;Testing;tool;Travel;Work;,Role of c-Jun N-terminal kinase signaling in cortical interneuron migration,PUBLIC HEALTH RELEVANCE: Disruptions to the formation of inhibitory circuitry in the cerebral cortex confer risk for profound brain disorders; including epilepsy; autism; and schizophrenia. Results obtained from the proposed project will provide key information into the mechanisms underlying cortical interneuron migration and maturation-critical processes in assembling functional cortical circuitry. This fundamental knowledge is a pivotal step towards unraveling complex etiologies of neurologic and neuropsychiatric disorders.,NINDS,9634102,4-Feb-19,PA-13-302,5R01NS082262-05,5,R01,NS,82262,5,,"RIDDLE, ROBERT D",1-Feb-15,31-Jan-20,Neurogenesis and Cell Fate Study Section (NCF) ,,7891395,"TUCKER, ERIC S",Not Applicable,1,BIOLOGY,191510239,US,39.637631,-79.946405,9163701,WEST VIRGINIA UNIVERSITY,MORGANTOWN,WV,SCHOOLS OF MEDICINE,26506-6845,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,218750,109375,328125,
No NIH Category available.,Acids;Adverse effects;Aftercare;aging brain;Astrocytes;base;Biochemistry;Brain;brain health;Brain Injuries;Brain Mass;Brain Neoplasms;Cancer Survivor;Cell Aging;Cells;cellular imaging;cerebral microvasculature;Cerebrovascular Circulation;Cerebrovascular system;Cerebrum;clinically relevant;Cognition;cognitive function;Cranial Irradiation;Data;Dementia;Diagnosis;Disseminated Malignant Neoplasm;DNA;DNA Damage;Dose;effective intervention;Eicosanoids;Energy Metabolism;Etiology;experience;Functional disorder;Gene Expression;genetic manipulation;Goals;Human;Hyperemia;Imaging Techniques;Impaired cognition;Impairment;improved;In Vitro;Incidence;Intervention;irradiation;Laser Speckle Imaging;Learning;Link;lipid mediator;liquid chromatography mass spectrometry;malignant breast neoplasm;Malignant neoplasm of lung;Malignant neoplasm of prostate;Malignant Neoplasms;Measurement;Mediating;Mediator of activation protein;Memory;Metastatic malignant neoplasm to brain;Mitotic;mouse model;Mus;Neurologic Symptoms;Neurons;neurovascular;neurovascular coupling;neurovascular unit;Newly Diagnosed;novel;Outcome;Pathogenicity;Pathway interactions;Patients;Pharmacology;Phenotype;Play;prevent;Prevention;Process;Production;programs;Prostaglandins;Proteomics;Publishing;Radiation;Radiation induced damage;Radiation Tolerance;radioresistant;Regulation;response;Role;senescence;Signal Transduction;Site;Testing;Time;tool;Up-Regulation;Vascular blood supply;Vasodilation;Vasodilator Agents;Work;,Radiation-induced astrocyte dysfunction and cognitive decline,NARRATIVE Patients with metastatic brain tumors who are treated with whole brain irradiation (WBI) often experienceprogressive dementia as a result of this treatment. At the present time; no strategies exist to prevent radiation-induced brain injury and no additional treatments can reverse these effects. Our goal is to understand howradiation damages the brain and to develop effective interventions to maintain learning and memory in thesecancer survivors.,NINDS,9597243,23-Nov-18,PA-16-160,5R01NS100782-02,5,R01,NS,100782,2,,"BABCOCK, DEBRA J",1-Dec-17,30-Nov-22,Acute Neural Injury and Epilepsy Study Section (ANIE) ,,7839913,"UNGVARI, ZOLTAN ISTVAN",Not Applicable,5,OTHER HEALTH PROFESSIONS,878648294,US,35.480049,-97.494195,1524003,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OKLAHOMA CITY,OK,SCHOOLS OF MEDICINE,73104-3609,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Research Projects,2019,NINDS,268100,74813,342913,
No NIH Category available.,Address;Alleles;analytical tool;Animal Model;Architecture;Behavior;Behavioral;Behavioral Assay;behavioral plasticity;Bioinformatics;Biological Assay;Brain;Brain region;cell type;Cellular Assay;Collaborations;Comparative Study;Complex;Country;Coupled;Data;design;Detection;Development;Dissection;Drosophila genus;experimental study;Gene Expression Profile;Gene Expression Regulation;Gene Targeting;Generations;Genes;Genetic;genetic strain;Genetic Transcription;Genetic Translation;Genomics;Goals;improved;in vivo;Individual;innovation;Insecta;Institutes;Institution;Joints;Knowledge;Locomotion;Logic;loss of function;Mammals;Maps;Mediating;medical schools;Memory;Messenger RNA;MicroRNAs;Modeling;Molecular;Molecular Computations;Molecular Genetics;Movement;mRNA Stability;mutant;nervous system development;Nervous system structure;neural circuit;Neuraxis;Neurobiology;neurodevelopment;Neuronal Plasticity;Neurons;Output;overexpression;Pathway interactions;Phenotype;Physiological;programs;protein expression;Proteins;public health relevance;Reagent;Regulation;Regulator Genes;Research Personnel;response;RNA;sensor;Series;Shapes;Signal Transduction;Sleep;Source;spatiotemporal;Stimulus;Synaptic plasticity;System;Technical Expertise;Techniques;Testing;Textiles;Time;tool;transcriptome;Transgenic Organisms;Universities;Untranslated RNA;Validation;Work;,MicroRNA-Dependent Regulation of Synaptic and Behavioral Plasticity in Drosophila,PUBLIC HEALTH RELEVANCE:  This innovative Program will bring experts in neurobiology; molecular genetics and computational genomics from four institutions across the country to address fundamental unanswered questions regarding mechanisms that control the precise regulation of genes required for normal behavior. Our goal is to discover the regulatory logic by which conserved microRNAs control the formation; function and plasticity of neural circuits underlying coordinated movement; sleep and memory. Together; our collaborative team will identify the molecules responsible for normal behavior; and work to understand those mechanisms used in many regions of the brain.         ,NINDS,9816283,8-Feb-19,PA-18-906,3P01NS090994-03S2,3,P01,NS,90994,3,S2,"RIDDLE, ROBERT D",1-Jan-19,31-Dec-20,,,1894863,"VAN VACTOR, DAVID L. ","DAVIS, RONALD L;GRIFFITH, LESLIE C;WALL, DENNIS PAUL",7,ANATOMY/CELL BIOLOGY,47006379,US,42.335814,-71.105033,3212902,HARVARD MEDICAL SCHOOL,BOSTON,MA,SCHOOLS OF MEDICINE,02115-6027,UNITED STATES, ,1-Jan-19,31-Mar-19,853,Research Projects,2019,NINDS,10909,6406,17315,
No NIH Category available.,Aging;Attention deficit hyperactivity disorder;Automobile Driving;Basal Ganglia;Basal Ganglia Diseases;Behavior Control;Behavior Disorders;Bilateral;Brain;Characteristics;Clinical;Cognitive;cognitive control;Cognitive deficits;cognitive neuroscience;cognitive process;Communities;Conflict (Psychology);Contralateral;Coupled;Data;Deep Brain Stimulation;design;Development;Devices;Diffuse;Disease;Disease model;Dorsal;Electrodes;experience;experimental study;falls;Forms Controls;Freezing;Frequencies;Functional disorder;Gilles de la Tourette syndrome;Goals;Grant;Human;Huntington Disease;Impairment;implantation;improved;Individual;innovation;Intervention;Knowledge;Lead;Left;Link;Measures;Methods;Microelectrodes;Mind;Modeling;Monitor;Motor;motor control;motor impulse;motor symptom;Movement;Movement Disorders;nervous system disorder;neural circuit;Neurocognitive;Neurodegenerative Disorders;Neurologic;Neurons;neurophysiology;neuropsychiatric disorder;neuropsychiatry;next generation;novel;novel strategies;Obsessive-Compulsive Disorder;Operating Rooms;Operative Surgical Procedures;Parkinson Disease;Patients;Performance;Physiology;Play;Postoperative Period;Process;programs;Property;Publishing;relating to nervous system;Research;response;Role;Side;Signal Transduction;skills;STN stimulation;Structure;Structure of subthalamic nucleus;Suggestion;System;Technology;Testing;theories;voltage;Work;,Modulating Inhibitory Action Control Systems With Subthalamic Nucleus Stimulation,NARRATIVENeurologic and neuropsychiatric disorders characterized by basal ganglia dysfunction are accompanied bydrastic deficits in the ability to inhibit movement and actions. The subthalamic nucleus; a principle target indeep brain stimulation (DBS) therapies for those diseases; is also hypothesized to be a key node in inhibitorycontrol circuitries that stop action urgently and suppress conflicting response impulses suggesting that DBSmay act; in part; by modulating inhibitory control deficits. Using a Parkinson's disease model; we investigatehypotheses about how neurophysiological properties and deep brain stimulation of specific subregions andhemispheres of the subthalamic nucleus are linked to inhibitory action control mechanisms in the brain.,NINDS,9625674,5-Dec-18,PA-16-160,5R01NS100996-02,5,R01,NS,100996,2,,"SIEBER, BETH-ANNE",15-Jan-18,31-Dec-22,Cognition and Perception Study Section (CP) ,,11898901,"VAN WOUWE, NELLEKE C. ","NEIMAT, JOSEPH S",3,NEUROSURGERY,57588857,US,38.185212,-85.660469,4679701,UNIVERSITY OF LOUISVILLE,LOUISVILLE,KY,SCHOOLS OF MEDICINE,40292-0001,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,257365,79272,336637,
No NIH Category available.,Animal Model;Animal Testing;Astrocytes;astrogliosis;Axon;base;Biological Assay;Biological Models;Cell Maturation;Cells;Chemicals;Chronic;chronic demyelination;Cicatrix;Clinical;Clinical Research;clinically relevant;Cuprizone;Data;Demyelinations;disabling disease;Disease;Effectiveness;experimental study;extracellular;Extracellular Matrix;Failure;Family;Generations;Goals;Health;high throughput screening;Histopathology;Immunotherapy;in vivo;Individual;Inflammatory;injured;Injury;Innate Immune Response;Instruction;Knockout Mice;Lesion;Libraries;Microscopy;Modeling;Modification;Molecular;Molecular Target;Multiple Sclerosis;Multiple Sclerosis Lesions;Mus;Myelin;Natural regeneration;Nerve Degeneration;Nervous System Physiology;Neurons;novel;oligodendrocyte lineage;oligodendrocyte progenitor;Oligodendroglia;Pathologic Processes;Pathway interactions;Pattern;Pattern recognition receptor;Pharmaceutical Preparations;Pharmacology;Phase;Phenotype;Play;pre-clinical;Pre-Clinical Model;preclinical study;Predisposition;prevent;receptor;recruit;regenerative;remyelination;response;Role;Secondary to;Signal Pathway;Signal Transduction;Site;Slice;small molecule;Stem cells;Testing;Tissues;TLR2 gene;Toll-like receptors;Ursidae Family;Work;young adult;,Damage Associated Molecular Patterns and Regenerative Failure in MS,Project NarrativeProgressive Multiple Sclerosis (MS) is characterized clinically by a gradual and steadydecline in neurologic function; which occurs because chronically demyelinated axons arevulnerable to neurodegeneration. We propose that the TLR2/MyD88 pathway plays amajor role in blocking healthy remyelination; and our first goal in this application is to usecell-specific TLR2 and MyD88 deletions to prove mechanistically this pathway functionsspecifically in the oligodendrocyte lineage to prevent remyelination. Our second goal isto identify small molecule antagonists to the TLR2/MyD88 pathway; and then test theeffectiveness of these agents in promoting healthy remyelination using model systemsrelevant to MS.,NINDS,9599474,27-Nov-18,PA-16-160,5R01NS104350-02,5,R01,NS,104350,2,,"UTZ, URSULA",1-Dec-17,30-Nov-22,Clinical Neuroimmunology and Brain Tumors Study Section (CNBT) ,,1862734,"VARTANIAN, TIMOTHY ",Not Applicable,12,NEUROLOGY,60217502,US,40.76491,-73.955055,1514803,WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NY,SCHOOLS OF MEDICINE,10065-4805,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Research Projects,2019,NINDS,237407,131771,369178,
No NIH Category available.,Adult;Affect;Affinity Chromatography;Alzheimer's Disease;Animals;Apoptotic;Astrocytes;Autistic Disorder;Binding;Bioinformatics;Blood Vessels;Brain;Carrier Proteins;Cathepsins;Cells;critical period;Cues;cytokine;Data;Data Analyses;Dendrites;Density Gradient Centrifugation;Development;Disease;Distal;Exhibits;fascinate;FMR1;Genes;Genetic Transcription;Genetic Translation;Goals;Hour;Immunohistochemistry;Immunoprecipitation;In Situ Hybridization;in vivo;insight;knock-down;Knowledge;Long-Term Depression;Long-Term Potentiation;Lysosomes;Mediating;Mental Depression;Messenger RNA;Microglia;Mus;mutant;Mutation;Neuroglia;Neurons;novel;Nuclear Export;Oligodendroglia;Peptides;Phagocytes;Phagocytosis;Play;postnatal;Process;Prosencephalon;protein transport;Proteins;Puromycin;Regulation;response;Ribosomes;RNA;RNA Binding;RNA Splicing;RNA-Binding Proteins;Role;Schizophrenia;Signal Transduction;Site;Slice;Synapses;synaptic pruning;Synaptosomes;Techniques;Testing;Training;Transcript;transcriptome;transcriptome sequencing;transcriptomics;Translating;Translations;translatome;,The regulation and localization of microglial mRNA translation during synaptic remodeling,The goal of this proposal is to acquire mechanistic knowledge into how microglia regulate localizationand translation of mRNA transcripts in response to extrinsic local cues during synaptic remodeling.,NINDS,9607036,21-Nov-18,PAR-16-458,5F32NS105363-02,5,F32,NS,105363,2,,"MORRIS, JILL A",1-Dec-17,31-Jul-19,Special Emphasis Panel (ZNS1-SRB-M (02)),,10858580,"VASEK, MICHAEL JOHN",Not Applicable,1,GENETICS,68552207,US,38.647241,-90.300814,9083901,WASHINGTON UNIVERSITY,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,63130-4862,UNITED STATES, ,1-Dec-18,31-Jul-19,853,Training; Individual,2019,NINDS,42497,,42497,
No NIH Category available.,Acute;Adherence;Adoption;Argentine;base;Blood Pressure;care outcomes;Caring;Cessation of life;Child;Child Care;Childhood;Clinical Investigator;Collaborations;Communities;Complex;Computer Simulation;Country;Critical Care;Data;Development;disability;effective therapy;Effectiveness;Elements;Engineering;Environmental air flow;evidence base;evidence based guidelines;Foundations;Glasgow Outcome Scale;Guideline Adherence;Guidelines;Health;Healthcare Systems;Hour;Hybrids;Hyperventilation;Hypoxia;implementation research;implementation science;implementation strategy;improved;improved outcome;innovation;Intensive Care;Intervention;Intracranial Pressure;Maps;Medical Care Costs;Methods;Modeling;Monitor;mortality;nutrition;operation;Outcome;Paper;Pathway interactions;Patient-Focused Outcomes;Patients;pediatric traumatic brain injury;Performance;Population;Practice Guidelines;prevent;Process;programs;prophylactic;Provider;Public Health;Randomized Controlled Trials;Recommendation;Research;Research Infrastructure;Research Personnel;response;secondary outcome;Site;South American;statistics;Stream;System;Testing;Time;tool;Translating;trauma centers;Traumatic Brain Injury;treatment as usual;Universities;Washington;Work;,Implementation Fidelity and Benefits of the Critical Care Pediatric Guideline Adherence and Outcomes Program in Traumatic Brain Injury,Project NarrativePediatric traumatic brain injury (TBI) is the leading killer of children worldwide but effective treatments for TBIare limited. Although evidenced-based pediatric TBI guidelines exist; adherence to these guidelines is low;leading us to develop a new Pediatric Guideline Adherence and Outcomes (PEGASUS) program to increaseTBI guideline adherence. We propose to test the PEGASUS program's ability to improve TBI guidelineadherence and outcomes.,NINDS,9678497,25-Dec-18,PAR-18-007,1R01NS106560-01A1,1,R01,NS,106560,1,A1,"BELLGOWAN, PATRICK S F",1-Jan-19,31-Dec-23,Dissemination and Implementation Research in Health Study Section (DIRH) ,,7354981,"VAVILALA, MONICA S ","BELL, MICHAEL J",7,ANESTHESIOLOGY,605799469,US,47.660049,-122.31441,9087701,UNIVERSITY OF WASHINGTON,SEATTLE,WA,SCHOOLS OF MEDICINE,98195-9472,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,563854,149218,713072,
No NIH Category available.,Apoptosis;Apoptosis Regulation Gene;Apoptotic;base;BAX gene;Bax protein;bcl-xlong protein;BCL1 Oncogene;BCL2 gene;Bioinformatics;Brain;Brain Neoplasms;Cell Cycle;Cell Death;Cell Survival;Cells;Cerebellum;Cessation of life;Child;Childhood Neurological Disorder;Communication;Complex;Congenital cerebellar hypoplasia;Cytoplasmic Granules;Data;Dependence;Development;droplet sequencing;Drops;Ethics;experience;Gene Expression;Genetic;genetic analysis;Genetic Transcription;Goals;Growth;Homologous Gene;Human;insight;Lead;Life;Link;Malignant neoplasm of brain;Malignant neoplasm of cerebellum;Measures;Mediating;medulloblastoma;Molecular Conformation;Mus;Necrosis;neoplastic cell;nerve stem cell;neurogenesis;Neurons;novel;novel strategies;novel therapeutic intervention;Pathogenesis;Pathologic;Pharmaceutical Preparations;Pharmacology;Phenotype;Physiological;Population;postnatal;postnatal period;prevent;pro-apoptotic protein;Process;progenitor;Proliferating;Protein Analysis;Regulation;Research;Resistance;Resistance development;resistance mechanism;response;Role;SHH gene;skills;smoothened signaling pathway;Testing;therapeutic evaluation;Training;transcriptomics;Transgenic Mice;tumor;tumorigenesis;,Cooperation of BCL-xL and SHH in regulating cell survival during cerebellar neurogenesis and in medulloblastoma,PROJECT NARRATIVEFailed regulation of cerebellar development can lead to the severe childhood neurological disorderscerebellar hypoplasia and medulloblastoma. This project will provide insight into how apoptosis; a regulatedform of cell death; controls cell populations in the developing cerebellum and in tumorigenesis. I expectthrough studying how apoptosis influences cerebellar growth and tumorigenesis that we may develop newtherapeutic strategies for treating both cerebellar hypoplasia and medulloblastoma.,NINDS,9689260,15-Nov-18,PA-16-309,5F31NS101883-02,5,F31,NS,101883,2,,"FOUNTAIN, JANE W",1-Dec-17,31-Aug-19,Special Emphasis Panel (ZRG1-F03A-N (20)L),,12331368,"VELETA, KATHERINE ",Not Applicable,4,OTHER BASIC SCIENCES,608195277,US,35.926939,-79.038605,578206,UNIV OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NC,SCHOOLS OF MEDICINE,27599-0001,UNITED STATES, ,1-Dec-18,31-Aug-19,853,Training; Individual,2019,NINDS,28492,,28492,
No NIH Category available.,Address;Adopted;Affect;Animal Model;Animals;Axon;Base Pairing;Basic Science;Binding;Bipolar Neuron;Cell Lineage;Cells;chromatin immunoprecipitation;CRISPR/Cas technology;Dendrites;Development;DNA Binding;Drosophila genus;Drosophila melanogaster;Enhancers;experimental study;Future;Gene Transfer Techniques;Genes;Genetic;Genetic Enhancer Element;Genetic Transcription;Heterodimerization;improved;in vivo;injured;injury and repair;insight;Knock-in;Knowledge;Laboratories;Link;loss of function;Mediating;Mitotic;Molecular;Morphology;Mosaicism;Multipolar Neuron;Natural regeneration;Nerve Regeneration;nervous system development;nervous system disorder;Nervous system structure;neurogenesis;neuron development;neuronal circuitry;Neurons;novel;Nucleotides;Organ;Output;overexpression;Pattern;Play;precursor cell;programs;Property;Regulation;Regulatory Element;Reporter;Research;Role;Sensory;sensory input;sensory integration;Site;Specific qualifier value;Specificity;System;Techniques;Testing;therapy development;transcription factor;Unipolar Neuron;Work;,Mechanisms that Determine the Basic Morphological Types of Neurons,Project NarrativeNeurons differentiate to gain morphological properties; however; how different types of neurons gain acommon morphological property remains unknown. Using Drosophila melanogaster as a model organism; Ipropose to address this gap in knowledge by studying the molecular programs through which fate-specifiedneurons acquire a specific morphological feature. The proposed research seeks the fundamental knowledgeabout nervous system development; and has the potential to reduce the burden of neurological disease byproviding the basic research needed to develop therapies to regenerate damaged neurons that can properlyintegrate into existing neuronal circuitry.,NINDS,9601694,16-Nov-18,PA-14-147,5F31NS100391-03,5,F31,NS,100391,3,,"MAMOUNAS, LAURA",1-Dec-16,30-Nov-19,Special Emphasis Panel (ZRG1-F03A-N (20)L),,11983934,"VELING, MACY WENQIAN",Not Applicable,12,ANATOMY/CELL BIOLOGY,73133571,US,42.244005,-83.73915,1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,SCHOOLS OF MEDICINE,48109-1276,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Training; Individual,2019,NINDS,36806,,36806,
No NIH Category available.,Activity Cycles;Adult;Age;aged;Animals;Brain;Brain Injuries;Cell Cycle Progression;Cell physiology;Cells;Cerebral Ischemia;Cerebrum;Chromatin;chromatin remodeling;Clinical Trials;Comorbidity;Data;Development;Diabetes Mellitus;Disease;Dose;efficacy testing;Epigenetic Process;experimental study;Expression Profiling;Future;Gene Expression;Genes;Genetic Transcription;Genomic Imprinting;Goals;Guidelines;Industry;Infarction;Ischemia;Ischemic Brain Injury;knock-down;male;Malignant Neoplasms;mammalian genome;Mediating;MicroRNAs;middle age;Modeling;Myocardial dysfunction;Neurodegenerative Disorders;Neurologic Deficit;Neurologic Dysfunctions;neurological recovery;neuron loss;Neurons;neuroprotection;new therapeutic target;novel therapeutics;Organ;Outcome;Pathologic;Pharmaceutical Preparations;Physiology;post stroke;Preclinical Testing;prevent;Proteins;Rattus;Recommendation;Rodent;Route;Running;scaffold;sex;Sex Functioning;Sin3A protein;Small Interfering RNA;Stream;Stroke;stroke model;stroke therapy;stroke treatment;systemic toxicity;Testing;Therapeutic;therapeutic development;therapeutic evaluation;therapeutic target;Toxic effect;Transcript;transcription factor REST;Transcription Repressor/Corepressor;Transcriptional Regulation;Translations;Untranslated RNA;young adult;,Therapeutic Targeting of an lncRNA in Experimental Stroke Using STAIR Criteria,Finding new therapies is a priority to prevent post-stroke brain damage and to promoteneurological recovery. It is important to conduct preclinical testing in young as well as agedanimals of both sexes; and further in animals with comorbid conditions. In this proposal we wishto test if inhibiting a long noncoding RNA (lncRNA) promotes neuroprotection after stroke. We willincorporate many combinations and permutations like age; sex; comorbid conditions; toxicity;stroke type and species to test the lncRNA therapy in rodent stroke models. The long-term goalis to find new targets that are amenable for therapy to prevent brain damage after stroke.,NINDS,9608075,18-Jan-19,PA-16-160,5R01NS099531-03,5,R01,NS,99531,3,,"BOSETTI, FRANCESCA",1-Mar-17,31-Dec-21,Brain Injury and Neurovascular Pathologies Study Section (BINP) ,,6079094,"VEMUGANTI, RAGHU ",Not Applicable,2,NEUROSURGERY,161202122,US,43.068377,-89.40086,578503,UNIVERSITY OF WISCONSIN-MADISON,MADISON,WI,SCHOOLS OF MEDICINE,53715-1218,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,278897,129593,408490,
No NIH Category available.,Acute;Adolescent;Adult;aerobic glycolysis;Age;age related;Antioxidants;Automobile Driving;Axon;Blood Vessels;Brain;Brain region;Cause of Death;Cell Culture Techniques;Cell Lineage;Cell Survival;cell type;Cells;Cicatrix;Corpus striatum structure;deprivation;Development;Distal;Exhibits;Functional disorder;Genetic Transcription;Glucose;Glutathione;Health;In Vitro;in vivo;Injury;insight;Ischemia;Ischemic Stroke;Knock-out;Knockout Mice;Laboratories;Life;lipid structure;Lipids;Measures;Mediating;Membrane;Metabolic;Metabolism;Methods;Mus;Myelin;myelin degeneration;Myelin Sheath;myelination;neonate;nervous system development;Neuraxis;Neurologic;neuron loss;Neuronal Injury;Neurons;novel;nuclear factor-erythroid 2;oligodendrocyte lineage;Oligodendroglia;Oxidative Stress;Oxygen;Pathologic;Pathology;Patients;Play;post stroke;Predisposition;Production;Proteins;Reactive Oxygen Species;recombinase-mediated cassette exchange;Recovery;Reperfusion Injury;Reperfusion Therapy;Resistance;response;restoration;Rodent;Role;Severities;Signal Transduction;Stroke;stroke model;stroke recovery;stroke treatment;stroke victims;Symptoms;System;Tamoxifen;Technology;Testing;Tissues;transcription factor;Transcriptional Regulation;Transgenic Organisms;United States;Vascular blood supply;white matter injury;Work;,Role of Nrf2 in oligodendrocyte development and ischemic response,Project NarrativeStroke severity and symptoms can vary widely with age. Juvenile oligodendrocytes are resistant to strokedespite comparable neuronal vulnerability. However; there are no current strategies for treating stroke victimsof different ages. This project seeks to understand the underlying mechanisms of protection relative to age-dependent stroke pathology; which is a crucial step for tailoring post-stroke treatment to the specific needs ofpatients.,NINDS,9607461,16-Nov-18,PA-16-309,5F31NS105395-02,5,F31,NS,105395,2,,"KOENIG, JAMES I",1-Dec-17,30-Nov-20,Special Emphasis Panel (ZRG1-F03A-N (20)L),,14469174,"VERDEN, DYLAN ",Not Applicable,6,BIOLOGY,41096314,US,39.708143,-104.724958,1199905,UNIVERSITY OF COLORADO DENVER,Aurora,CO,SCHOOLS OF MEDICINE,80045-2571,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Training; Individual,2019,NINDS,32038,,32038,
No NIH Category available.,Accounting;Acute;Adult;Advocate;Animal Model;Animals;Antiepileptogenic;base;Basic Science;biobank;Bioinformatics;Biological Markers;biomarker performance;Blood;Child;Clinical;Clinical Trials;Clinical Trials Network;Cognitive;Contusions;design;Development;Diagnosis;Early Post-Traumatic Seizures;efficacy testing;Electroencephalography;Electrophysiology (science);Epilepsy;Epileptogenesis;Experimental Designs;flexibility;frontal lobe;Future;Goals;Health;Hemorrhage;High Frequency Oscillation;high risk;Hippocampus (Brain);Human;Image;Injury;Intervention;Intervention Trial;Investigation;Magnetic Resonance Imaging;magnetic resonance imaging biomarker;Measures;Metabolic;Metadata;Methodology;Methods;Modeling;Monitor;multidisciplinary;multimodality;neurochemistry;neuroimaging;Neurologic;Neurosciences;novel;Observational Study;Outcome;Pathologic;Pathology;Pathway interactions;patient population;Patient Selection;Patients;Pattern;Performance;personalized medicine;Pharmaceutical Preparations;Phenotype;Physiological;Population;Post-Traumatic Epilepsy;preclinical trial;prevent;Process;prospective;Public Health;recruit;Research Design;Research Personnel;Resolution;Scalp structure;Seizures;Serum;sharing data;Site;Specialist;Surface;Temporal Lobe;Therapeutic Intervention;Time;Training;Traumatic Brain Injury;trial design;Validation;Work;,The Epilepsy Bioinformatics Study for Antiepileptogenic Therapy (EpiBioS4Rx) Project 3: Biomarkers of Human Epileptogenesis After Traumatic Brain Injury,NARRATIVE ? PROJECT 3 ? BIOMARKERS OF HUMAN EPILEPTOGENESIS AFTER TRAUMATIC BRAININJURYThis Project is aimed at understanding and evaluating post-traumatic epilepsy; a serious health problem thataccounts for 5% of all epilepsy worldwide. We propose to study a sizeable patient population known to besusceptible to such epilepsy; and assess them over time. Through this process; in close concert with basicscience researchers targeting the identical issues; we aim to provide the complete scientific basis acrossmultiple physiological; neurological; neurochemical and neuroimaging parameters for design and execution ofa future clinical trial by a highly trained and well-equipped consortium of neuroscience specialists.,NINDS,9650656,10-Jan-19,RFA-NS-16-012,5U54NS100064-03,5,U54,NS,100064,3,,Unavailable,,,Special Emphasis Panel (ZNS1-SRB-L),6366,2796905,"VESPA, PAUL M",Not Applicable,34,Unavailable,72933393,US,34.065915,-118.196446,7636101,UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA,Domestic Higher Education,90089-0701,UNITED STATES, ,1-Dec-18,30-Nov-19,,Research Centers,2019,,611417,0,,611417
